YEAR,TOURNAMENT,WINNER,RUNNER-UP,WINNER_NATIONALITY,WINNER_ATP_RANKING,RUNNER-UP_ATP_RANKING,WINNER_LEFT_OR_RIGHT_HANDED,TOURNAMENT_SURFACE,WINNER_PRIZE
1984,Wimbledon,John McEnroe,Jimmy Connors,American,,,left,Grass / Outdoor,100000
1984,French Open,Ivan Lendl,John McEnroe,Czechoslovakia,,,right,Clay,1058600
1983,Australian Open,Mats Wilander,Ivan Lendl,Swedish,,,right,Grass,100000
1983,U.S. Open,Jimmy Connors,Ivan Lendl,American,,,left,DecoTurf - outdoors,120000
1983,Wimbledon,John McEnroe,Chris Lewis,American,,,left,Grass / Outdoor,66600
1983,French Open,Yannick Noah,Mats Wilander,French,,,right,Clay,500000
1982,Australian Open,Johan Kriek,Steve Denton,American,,,right,Grass,77500
1982,U.S. Open,Jimmy Connors,Ivan Lendl,American,,,left,DecoTurf - outdoors,90000
1982,Wimbledon,Jimmy Connors,John McEnroe,American,,,left,Grass / Outdoor,41677
1982,French Open,Mats Wilander,Guillermo Vilas,Swedish,,,right,Clay,400000
1981,Australian Open,Johan Kriek,Steve Denton,American,,,right,Grass,72000
1981,U.S. Open,John McEnroe,Bjorn Borg,American,,,left,DecoTurf - outdoors,66000
1981,Wimbledon,John McEnroe,Bjorn Borg,American,,,left,Grass / Outdoor,21600
1981,French Open,Bjorn Borg,Ivan Lendl,Swedish,,,right,Clay,250000
1980,Australian Open,Brian Teacher,Kim Warwick,American,,,right,Grass,64000
1980,U.S. Open,John McEnroe,Bjorn Borg,American,,,left,DecoTurf - outdoors,46000
1980,Wimbledon,Bjorn Borg,John McEnroe,Swedish,,,right,Grass / Outdoor,20000
1980,French Open,Bjorn Borg,Vitas Gerulaitis,Swedish,,,right,Clay,221000
1979,Australian Open,Guillermo Vilas,John Sadri,Argentine,,,left,Grass,50015
1979,U.S. Open,John McEnroe,Vitas Gerulaitis,American,,,left,DecoTurf - outdoors,39000
1979,Wimbledon,Bjorn Borg,Roscoe Tanner,Swedish,,,right,Grass / Outdoor,20000
1979,French Open,Bjorn Borg,Victor Pecci,Swedish,,,right,Clay,208000
1978,Australian Open,Guillermo Vilas,John Marks,Argentine,,,left,Grass,50015
1978,U.S. Open,Jimmy Connors,Bjorn Borg,American,,,left,DecoTurf - outdoors,38000
1978,Wimbledon,Bjorn Borg,Jimmy Connors,Swedish,,,right,Grass / Outdoor,19000
1978,French Open,Bjorn Borg,Guillermo Vilas,Swedish,,,right,Clay,210000
1977,Australian Open (Dec),Vitas Gerulaitis,John Lloyd,American,,,right,Grass,41000
1977,U.S. Open,Guillermo Vilas,Jimmy Connors,Argentine,,,left,Clay - outdoors,33000
